time,open,close
2023-06-11T20:40:00Z,30674,30678
2023-06-11T20:45:00Z,30678,30673
2023-06-11T20:50:00Z,30672,30688
2023-06-11T20:55:00Z,30691,30703
2023-06-11T21:00:00Z,30703,30676
2023-06-11T21:05:00Z,30677,30688
2023-06-11T21:10:00Z,30691,30678
2023-06-11T21:15:00Z,30675,30686
2023-06-11T21:20:00Z,30697,30686
2023-06-11T21:25:00Z,30685,30680
2023-06-11T21:30:00Z,30681,30677
2023-06-11T21:35:00Z,30675,30671
2023-06-11T21:40:00Z,30671,30667
2023-06-11T21:45:00Z,30667,30669
2023-06-11T21:50:00Z,30669,30639
2023-06-11T21:55:00Z,30642,30662
2023-06-11T22:00:00Z,30653,30631
2023-06-11T22:05:00Z,30629,30638
2023-06-11T22:10:00Z,30637,30634
2023-06-11T22:15:00Z,30635,30652
2023-06-11T22:20:00Z,30652,30661
2023-06-11T22:25:00Z,30660,30648
2023-06-11T22:30:00Z,30645,30648
2023-06-11T22:35:00Z,30650,30649
2023-06-11T22:40:00Z,30646,30662
2023-06-11T22:45:00Z,30664,30644
2023-06-11T22:50:00Z,30639,30650
2023-06-11T22:55:00Z,30648,30684
2023-06-11T23:00:00Z,30686,30677
2023-06-11T23:05:00Z,30682,30709
2023-06-11T23:10:00Z,30709,30683
2023-06-11T23:15:00Z,30686,30740
2023-06-11T23:20:00Z,30742,30729
2023-06-11T23:25:00Z,30726,30705
2023-06-11T23:30:00Z,30701,30669
2023-06-11T23:35:00Z,30669,30676
2023-06-11T23:40:00Z,30673,30657
2023-06-11T23:45:00Z,30672,30689
2023-06-11T23:50:00Z,30689,30678
2023-06-11T23:55:00Z,30677,30648
2023-06-12T00:00:00Z,30650,30634
2023-06-12T00:05:00Z,30626,30623
2023-06-12T00:10:00Z,30626,30619
2023-06-12T00:15:00Z,30618,30660
2023-06-12T00:20:00Z,30656,30638
2023-06-12T00:25:00Z,30635,30644
2023-06-12T00:30:00Z,30644,30636
2023-06-12T00:35:00Z,30635,30646
2023-06-12T00:40:00Z,30647,30658
2023-06-12T00:45:00Z,30656,30661
2023-06-12T00:50:00Z,30663,30667
2023-06-12T00:55:00Z,30666,30668
2023-06-12T01:00:00Z,30663,30664
2023-06-12T01:05:00Z,30665,30665
2023-06-12T01:10:00Z,30666,30651
2023-06-12T01:15:00Z,30646,30655
2023-06-12T01:20:00Z,30655,30644
2023-06-12T01:25:00Z,30645,30641
2023-06-12T01:30:00Z,30638,30625
2023-06-12T01:35:00Z,30624,30611
2023-06-12T01:40:00Z,30610,30587
2023-06-12T01:45:00Z,30587,30622
2023-06-12T01:50:00Z,30622,30623
2023-06-12T01:55:00Z,30622,30621
2023-06-12T02:00:00Z,30622,30622
2023-06-12T02:05:00Z,30622,30621
2023-06-12T02:10:00Z,30623,30623
2023-06-12T02:15:00Z,30623,30623
2023-06-12T02:20:00Z,30624,30624
2023-06-12T02:25:00Z,30660,30627
2023-06-12T02:30:00Z,30628,30628
2023-06-12T02:35:00Z,30628,30629
2023-06-12T02:40:00Z,30630,30648
2023-06-12T02:45:00Z,30644,30681
2023-06-12T02:50:00Z,30680,30647
2023-06-12T02:55:00Z,30647,30654
2023-06-12T03:00:00Z,30662,30683
2023-06-12T03:05:00Z,30684,30698
2023-06-12T03:10:00Z,30702,30680
2023-06-12T03:15:00Z,30684,30680
2023-06-12T03:20:00Z,30680,30690
2023-06-12T03:25:00Z,30690,30679
2023-06-12T03:30:00Z,30676,30703
2023-06-12T03:35:00Z,30704,30700
2023-06-12T03:40:00Z,30698,30749
2023-06-12T03:45:00Z,30748,30715
2023-06-12T03:50:00Z,30715,30735
2023-06-12T03:55:00Z,30728,30737
2023-06-12T04:00:00Z,30737,30912
2023-06-12T04:05:00Z,30906,30902
2023-06-12T04:10:00Z,30909,30924
2023-06-12T04:15:00Z,30920,30856
2023-06-12T04:20:00Z,30856,30914
2023-06-12T04:25:00Z,30914,30953
2023-06-12T04:30:00Z,30949,31058
2023-06-12T04:35:00Z,31059,30987
2023-06-12T04:40:00Z,30980,31070
2023-06-12T04:45:00Z,31062,31102
2023-06-12T04:50:00Z,31102,31059
2023-06-12T04:55:00Z,31049,31064
2023-06-12T05:00:00Z,31070,31074
2023-06-12T05:05:00Z,31074,30949
2023-06-12T05:10:00Z,30941,30954
2023-06-12T05:15:00Z,30954,31019
2023-06-12T05:20:00Z,31019,31000
2023-06-12T05:25:00Z,31005,31000
2023-06-12T05:30:00Z,31000,30988
2023-06-12T05:35:00Z,30978,30944
2023-06-12T05:40:00Z,30971,30970
2023-06-12T05:45:00Z,30970,31002
2023-06-12T05:50:00Z,31004,31033
2023-06-12T05:55:00Z,31028,31048
2023-06-12T06:00:00Z,31048,30984
2023-06-12T06:05:00Z,30989,30983
2023-06-12T06:10:00Z,30978,30937
2023-06-12T06:15:00Z,30937,30969
2023-06-12T06:20:00Z,30976,30965
2023-06-12T06:25:00Z,30964,31011
2023-06-12T06:30:00Z,31004,30991
2023-06-12T06:35:00Z,30989,31045
2023-06-12T06:40:00Z,31046,31028
2023-06-12T06:45:00Z,31024,31023
2023-06-12T06:50:00Z,31035,31040
2023-06-12T06:55:00Z,31037,31009
2023-06-12T07:00:00Z,31009,31020
2023-06-12T07:05:00Z,31019,31023
2023-06-12T07:10:00Z,31023,31050
2023-06-12T07:15:00Z,31049,31039
2023-06-12T07:20:00Z,31038,31030
2023-06-12T07:25:00Z,31035,31010
2023-06-12T07:30:00Z,31027,31010
2023-06-12T07:35:00Z,31010,31031
2023-06-12T07:40:00Z,31027,31098
2023-06-12T07:45:00Z,31102,31120
2023-06-12T07:50:00Z,31124,31176
2023-06-12T07:55:00Z,31173,31212
2023-06-12T08:00:00Z,31206,31210
2023-06-12T08:05:00Z,31206,31156
2023-06-12T08:10:00Z,31156,31150
2023-06-12T08:15:00Z,31132,31191
2023-06-12T08:20:00Z,31186,31232
2023-06-12T08:25:00Z,31232,31322
2023-06-12T08:30:00Z,31331,31275
2023-06-12T08:35:00Z,31299,31316
2023-06-12T08:40:00Z,31322,31291
2023-06-12T08:45:00Z,31298,31315
2023-06-12T08:50:00Z,31316,31319
2023-06-12T08:55:00Z,31326,31258
2023-06-12T09:00:00Z,31259,31245
2023-06-12T09:05:00Z,31266,31286
2023-06-12T09:10:00Z,31284,31259
2023-06-12T09:15:00Z,31256,31204
2023-06-12T09:20:00Z,31212,31221
2023-06-12T09:25:00Z,31217,31232
2023-06-12T09:30:00Z,31231,31204
2023-06-12T09:35:00Z,31206,31173
2023-06-12T09:40:00Z,31171,31177
2023-06-12T09:45:00Z,31177,31135
2023-06-12T09:50:00Z,31139,31135
2023-06-12T09:55:00Z,31138,31128
2023-06-12T10:00:00Z,31130,31075
2023-06-12T10:05:00Z,31080,31113
2023-06-12T10:10:00Z,31115,31093
2023-06-12T10:15:00Z,31093,31067
2023-06-12T10:20:00Z,31070,31038
2023-06-12T10:25:00Z,31037,31044
2023-06-12T10:30:00Z,31019,31070
2023-06-12T10:35:00Z,31055,31057
2023-06-12T10:40:00Z,31058,31088
2023-06-12T10:45:00Z,31088,31043
2023-06-12T10:50:00Z,31042,31061
2023-06-12T10:55:00Z,31058,31051
2023-06-12T11:00:00Z,31048,31089
2023-06-12T11:05:00Z,31082,31060
2023-06-12T11:10:00Z,31055,31073
2023-06-12T11:15:00Z,31071,31132
2023-06-12T11:20:00Z,31122,31120
2023-06-12T11:25:00Z,31120,31132
2023-06-12T11:30:00Z,31138,31114
2023-06-12T11:35:00Z,31114,31108
2023-06-12T11:40:00Z,31107,31110
2023-06-12T11:45:00Z,31110,31115
2023-06-12T11:50:00Z,31114,31138
2023-06-12T11:55:00Z,31138,31128
2023-06-12T12:00:00Z,31141,31133
2023-06-12T12:05:00Z,31124,31138
2023-06-12T12:10:00Z,31125,31112
2023-06-12T12:15:00Z,31112,31121
2023-06-12T12:20:00Z,31119,31119
2023-06-12T12:25:00Z,31120,31118
2023-06-12T12:30:00Z,31115,31122
2023-06-12T12:35:00Z,31124,31127
2023-06-12T12:40:00Z,31129,31128
2023-06-12T12:45:00Z,31133,31136
2023-06-12T12:50:00Z,31137,31160
2023-06-12T12:55:00Z,31160,31158
2023-06-12T13:00:00Z,31165,31149
2023-06-12T13:05:00Z,31147,31162
2023-06-12T13:10:00Z,31159,31144
2023-06-12T13:15:00Z,31145,31152
2023-06-12T13:20:00Z,31146,31132
2023-06-12T13:25:00Z,31134,31154
2023-06-12T13:30:00Z,31152,31131
2023-06-12T13:35:00Z,31147,31149
2023-06-12T13:40:00Z,31149,31176
2023-06-12T13:45:00Z,31180,31146
2023-06-12T13:50:00Z,31147,31133
2023-06-12T13:55:00Z,31131,31122
2023-06-12T14:00:00Z,31121,31136
2023-06-12T14:05:00Z,31135,31136
2023-06-12T14:10:00Z,31134,31142
2023-06-12T14:15:00Z,31142,31158
2023-06-12T14:20:00Z,31158,31162
2023-06-12T14:25:00Z,31162,31211
2023-06-12T14:30:00Z,31207,31206
2023-06-12T14:35:00Z,31203,31257
2023-06-12T14:40:00Z,31255,31266
2023-06-12T14:45:00Z,31288,31277
2023-06-12T14:50:00Z,31277,31292
